"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FEyeAdaptationCS","Global","SF_Compute","2","19000"
"FFXAAPS","Global","SF_Pixel","12","60486"
"FFillArgsCS","Global","SF_Compute","1","3278"
"FFillBlocksCS","Global","SF_Compute","1","4075"
"FFillMipsConditionBufferCS","Global","SF_Compute","1","1902"
"FFillTextureCS","Global","SF_Compute","1","1905"
"FFilmGrainPackConstantsCS","Global","SF_Compute","1","2055"
"FFilmGrainReduceCS","Global","SF_Compute","1","2889"
"FFilterCS","Global","SF_Compute","132","558409"
"FFilterHistoryPS","Global","SF_Pixel","2","5875"
"FFilterPS","Global","SF_Pixel","132","572706"
"FFilterProbeRadianceWithGatherCS","Global","SF_Compute","2","11161"
"FFilterSceneColorCS","Global","SF_Compute","1","2535"
"FFilterTranslucentVolumeCS","Global","SF_Compute","3","10210"
"FFilterVS","Global","SF_Vertex","16","43333"
"FFilterVisibleLightHashCS","Global","SF_Compute","1","3795"
"FFinishOcclusionPixelShader","Global","SF_Pixel","1","2476"
"FFirstPersonSelfShadowBlurPS","Global","SF_Pixel","1","4937"
"FFirstPersonSelfShadowInputsDownsamplePS","Global","SF_Pixel","1","4073"
"FFirstPersonSelfShadowTracingPS","Global","SF_Pixel","6","36267"
"FFirstPersonSelfShadowUpsamplePS","Global","SF_Pixel","1","4103"
"FFixupBordersAndGenerateMipsCS","Global","SF_Compute","4","13883"
"FFusionBlendCS","Global","SF_Compute","2","5238"
"FFusionSetupCS","Global","SF_Compute","1","7679"
"FGLTFSimpleElementNormalMapPS","Global","SF_Pixel","1","2293"
"FGLTFSimpleTexture2DPS","Global","SF_Pixel","1","2043"
"FGPUDebugCrashUtilsCS","Global","SF_Compute","8","17810"
"FGPUMorphNormalizeCS","Global","SF_Compute","1","2368"
"FGPUMorphUpdateCS","Global","SF_Compute","1","4203"
"FGPUSceneDebugRenderCS","Global","SF_Compute","1","31999"
"FGPUSceneSetInstancePrimitiveIdCS","Global","SF_Compute","1","4082"
